ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Site,Lat,Lon,Count,Dive,Sal_ppt,TempC,O2,Depth,Cond,Substrate,Thickness,ORP_sd_100,SENTRY_dive
EC8130,3,laevis,5.983742911,4.403449905,4.594659735,2.865170132,0,Mound 12,8.9307,-84.3128183,20,4984,34.58051149,4.651996396,33.991472,1004.458356,3.322748829,Mussel,0.24,0.22005957,502
EC8130,4,laevis,5.666493384,3.781852552,3.969754253,2.436767486,0,Mound 12,8.9307,-84.3128183,20,4984,34.58051149,4.651996396,33.991472,1004.458356,3.322748829,Mussel,0.22,0.22005957,502
EC8130,5,laevis,6.279655009,4.133175803,4.084877127,2.555529301,0,Mound 12,8.9307,-84.3128183,20,4984,34.58051149,4.651996396,33.991472,1004.458356,3.322748829,Mussel,0.2,0.22005957,502
EC8147,1,laevis,7.240335539,4.738563327,5.144801512,3.129489603,0,Mound 12,8.93058,-84.31267,2,4984,34.58003913,4.694119565,34.171576,1002.442522,3.326380652,NA,0.38,0.20714678,502
EC8148,1,laevis,8.679867675,5.563279773,5.964224953,3.84073724,0,Mound 12,8.93058,-84.31267,82,4984,34.58003913,4.694119565,34.171576,1002.442522,3.326380652,NA,0.1,0.20714678,502
EC8148,2,laevis,8.319281664,5.440879017,5.862334594,3.713374291,0,Mound 12,8.93058,-84.31267,82,4984,34.58003913,4.694119565,34.171576,1002.442522,3.326380652,NA,0.04,0.20714678,502
EC8148,3,laevis,6.26758034,4.01342155,4.337287335,2.657750473,0,Mound 12,8.93058,-84.31267,82,4984,34.58003913,4.694119565,34.171576,1002.442522,3.326380652,NA,0.19,0.20714678,502
EC8148,4,laevis,5.878544423,3.612476371,4.028638941,2.330245747,0,Mound 12,8.93058,-84.31267,82,4984,34.58003913,4.694119565,34.171576,1002.442522,3.326380652,NA,0.18,0.20714678,502
EC8148,5,laevis,6.643218336,4.593005671,4.808364839,3.057372401,0.040855388,Mound 12,8.93058,-84.31267,82,4984,34.58003913,4.694119565,34.171576,1002.442522,3.326380652,NA,0.25,0.20714678,502
EC8290,1,laevis,5.522920605,3.627032136,3.760349716,2.418903592,0,Mound 12,8.929907,-84.31299,5,4985,34.57868972,4.857979861,35.152505,1001.815429,3.340878542,Mussel,0.28,0.32132695,507
